"","category","name","reviewer","reviews","verified","date.of.review","ratings"
"1","Skirt","TONCHENGSD Women's Gothic Punk Plaid Pleated High Waisted Short A-line Flare Mini Skirt","Rom Shrestha","I really love this skirt. My favorite part was the cute laces that comes in front. I got a large, there's room to grow, but not too big.","Verified Purchase","Reviewed in the United States on 22 June 2023","4.4 out of 5 stars"
"2","Skirt","TONCHENGSD Women's Gothic Punk Plaid Pleated High Waisted Short A-line Flare Mini Skirt","Rom Shrestha","The material was decent and it fit well but the zipper broke off instantly after putting it on.","Verified Purchase","Reviewed in Canada on 28 October 2023","5.0 out of 5 stars"
"3","Skirt","TONCHENGSD Women's Gothic Punk Plaid Pleated High Waisted Short A-line Flare Mini Skirt","Frore","I absolutely loved this skirt. Got it for my daughter and she loves it as well. Great skirt, was afraid of it not looking like the pic but it did","Verified Purchase","Reviewed in the United States on 9 June 2023","5.0 out of 5 stars"
"4","Skirt","TONCHENGSD Women's Gothic Punk Plaid Pleated High Waisted Short A-line Flare Mini Skirt","Shannon","I love how this skirt looks! It’s a decent length and good quality of material. It does run smaller, though. I usually wear an XL but I got an XXL knowing it had a zipper. There’s not really any stretchiness to it. I have to wear it higher for it to fit since it’s smaller and has a zipper. It’s very cute, though, and I’m ordering it in purple, too. I definitely couldn’t wear it without leggings though.","Verified Purchase","Reviewed in the United States on 7 January 2024","1.0 out of 5 stars"
"5","Skirt","TONCHENGSD Women's Gothic Punk Plaid Pleated High Waisted Short A-line Flare Mini Skirt","Jessica","Wore this for the Georgia Renaissance festival my first time going and I wanted to be apart of the theme. Man did I get some ideas for next uear this was a great buy. It was some what snub for the wast could have done a XL but the L did wjay it was suppose to do. W is a W!","Verified Purchase","Reviewed in the United States on 28 July 2023","5.0 out of 5 stars"
"6","Skirt","TONCHENGSD Women's Gothic Punk Plaid Pleated High Waisted Short A-line Flare Mini Skirt","Jessica","I love it!  It's beautiful and fits wonderfully!","Verified Purchase","Reviewed in the United States on 17 December 2022","4.0 out of 5 stars"
"7","Skirt","TONCHENGSD Women's Gothic Punk Plaid Pleated High Waisted Short A-line Flare Mini Skirt","Siran","This skirt has a lace up tie in the front so you can adjust it to the perfect fit , super cute looks just like the picture","Verified Purchase","Reviewed in the United States on 2 January 2022","4.0 out of 5 stars"
"8","Skirt","TONCHENGSD Women's Gothic Punk Plaid Pleated High Waisted Short A-line Flare Mini Skirt","Siran","This skirt truly deserves a one star which is very sad. I ordered this skirt because I needed it for a holiday party. It actually arrived the day of the party and I was excited to try it on. Once it arrived, I took it out from the package to try it on and right when I tried to zip it down, the zipper broke. I also noticed that one of the hooks for the ribbon was coming undone. It looks cute and fashionable online but the material/ the poor way it was made is not worth the money. This is a definite return. Thank goodness that I went with my gut and went out to get another skirt just in case this one did not work.","Verified Purchase","Reviewed in the United States on 18 December 2023","5.0 out of 5 stars"
"9","Skirt","TONCHENGSD Women's Gothic Punk Plaid Pleated High Waisted Short A-line Flare Mini Skirt","tb","It does run small but is great for dancing","Verified Purchase","Reviewed in the United States on 29 January 2024","5.0 out of 5 stars"
"10","Skirt","TONCHENGSD Women's Gothic Punk Plaid Pleated High Waisted Short A-line Flare Mini Skirt","Jennifer Mason","Looking at the pictures, I thought this would be a bit more functional that it ended up being, the pictures are a bit deceptive.","Verified Purchase","Reviewed in the United States on 3 February 2024","5.0 out of 5 stars"
