"","category","name","reviewer","reviews","verified","date.of.review","ratings"
"1","T-shirt","Calvin Klein Jeans Women's CKJ CK EMBROIDERY SLIM T YAF WHT WMN TEE","myshopping","Very well made. Good quality garment.","Verified Purchase","Reviewed in Australia on 7 February 2023","4.4 out of 5 stars"
"2","T-shirt","Calvin Klein Jeans Women's CKJ CK EMBROIDERY SLIM T YAF WHT WMN TEE","Marita","Good quality t-shirt.","Verified Purchase","Reviewed in the United Kingdom on 22 November 2023","5.0 out of 5 stars"
"3","T-shirt","Calvin Klein Jeans Women's CKJ CK EMBROIDERY SLIM T YAF WHT WMN TEE","mademoiselle","Petit S taille très prêt du corp mais super jolie si vous avez une grosse poitrine preferencié le M","Verified Purchase","Reviewed in France on 5 June 2021","5.0 out of 5 stars"
"4","T-shirt","Calvin Klein Jeans Women's CKJ CK EMBROIDERY SLIM T YAF WHT WMN TEE","Viviana","Buon tessuto..e dopo molti lavaggi ancora nuova.consiglio","Verified Purchase","Reviewed in Italy on 23 January 2024","5.0 out of 5 stars"
"5","T-shirt","Calvin Klein Jeans Women's CKJ CK EMBROIDERY SLIM T YAF WHT WMN TEE","Sabine Richter","Sitzt perfekt und sieht gut aus!","Verified Purchase","Reviewed in Germany on 11 September 2023","5.0 out of 5 stars"
"6","T-shirt","Calvin Klein Jeans Women's CKJ CK EMBROIDERY SLIM T YAF WHT WMN TEE","Gemma smith","Lovely top","Verified Purchase","Reviewed in the United Kingdom on 5 November 2023","5.0 out of 5 stars"
"7","T-shirt","Calvin Klein Jeans Women's CKJ CK EMBROIDERY SLIM T YAF WHT WMN TEE","Steffi M.","Bitte Größe wie angegeben bestellen , lieber ein Nr. Größer - aber sonst gut für ein Basic","Verified Purchase","Reviewed in Germany on 3 January 2024","5.0 out of 5 stars"
"8","T-shirt","Calvin Klein Jeans Women's CKJ CK EMBROIDERY SLIM T YAF WHT WMN TEE","maurizio","Regalato a mia cognata è stata contentissima molto carina e di qualità","Verified Purchase","Reviewed in Italy on 4 July 2023","5.0 out of 5 stars"
"9","T-shirt","Calvin Klein Jeans Women's CKJ CK EMBROIDERY SLIM T YAF WHT WMN TEE","Candy candy","En primer lugar el patronaje  de esta camiseta por lo menos en mi caso,se ajusta a la perfección.El tejido es de calidad y además se siente muy natural.La camiseta si bien tiene un diseño básico es bonita y es perfecta como fondo de armario","Verified Purchase","Reviewed in Spain on 29 September 2023","5.0 out of 5 stars"
"10","T-shirt","Calvin Klein Jeans Women's CKJ CK EMBROIDERY SLIM T YAF WHT WMN TEE","Sam","Taille assez juste mais qualité super","Verified Purchase","Reviewed in France on 18 July 2021","5.0 out of 5 stars"
"11","T-shirt","Calvin Klein Jeans Women's CKJ CK EMBROIDERY SLIM T YAF WHT WMN TEE","Monkey","Gute Qualität. Aber man sollte das T Shirt größer kaufen weil die Größen komisch sind","Verified Purchase","Reviewed in Germany on 24 May 2022","4.4 out of 5 stars"
"12","T-shirt","Calvin Klein Jeans Women's CKJ CK EMBROIDERY SLIM T YAF WHT WMN TEE","CRESSENT Magalie","Ce T-shirt est très ajusté même avec une taille au-dessus.","Verified Purchase","Reviewed in France on 28 July 2023","4.0 out of 5 stars"
"13","T-shirt","Calvin Klein Jeans Women's CKJ CK EMBROIDERY SLIM T YAF WHT WMN TEE","Kindle Customer","Nice quality t-shirt, I bought my usual size, and size that was recommended.. small fitting, kept items as my daughter is keeping it.Ordered medium, I'm a size 12, to small... daughter is an 8 and fits her fine.","Verified Purchase","Reviewed in the United Kingdom on 5 February 2022","4.0 out of 5 stars"
"14","T-shirt","Calvin Klein Jeans Women's CKJ CK EMBROIDERY SLIM T YAF WHT WMN TEE","Amazon Customer","Me encantan, quedan genial","Verified Purchase","Reviewed in Spain on 4 May 2023","4.0 out of 5 stars"
"15","T-shirt","Calvin Klein Jeans Women's CKJ CK EMBROIDERY SLIM T YAF WHT WMN TEE","Do","Buona vestibilità  reaistente ai lavaggi frequenti","Verified Purchase","Reviewed in Italy on 23 August 2023","5.0 out of 5 stars"
"16","T-shirt","Calvin Klein Jeans Women's CKJ CK EMBROIDERY SLIM T YAF WHT WMN TEE","Lili","Top","Verified Purchase","Reviewed in France on 24 March 2021","4.0 out of 5 stars"
"17","T-shirt","Calvin Klein Jeans Women's CKJ CK EMBROIDERY SLIM T YAF WHT WMN TEE","Armando Palmiero","Davvero molto bella 😍","Verified Purchase","Reviewed in Italy on 14 July 2023","5.0 out of 5 stars"
