"","category","name","reviewer","reviews","verified","date.of.review","ratings"
"1","T-shirt","GAP Women's 2-Pack Crewneck Favorite Tee T-Shirt","Mary","Me encantan estas camisetas, muy suaves, no largas, no pierden la forma cuando se lavan y secan en maquina, super revomendables, fiel a su talla.","Verified Purchase","Reviewed in Mexico on 11 June 2023","4.6 out of 5 stars"
"2","T-shirt","GAP Women's 2-Pack Crewneck Favorite Tee T-Shirt","Mary","Me gustan por suaves y comodas, solo que están muy largas para mi, mido 1.62 pero lo dice en la descripción así que sabia lo que compraba.","Verified Purchase","Reviewed in Mexico on 23 June 2023","5.0 out of 5 stars"
"3","T-shirt","GAP Women's 2-Pack Crewneck Favorite Tee T-Shirt","Melisa Selene Álvarez","Bueno, bonito y barato.Son suaves, cómodas, sencillas pero bonitas.","Verified Purchase","Reviewed in Mexico on 10 October 2023","4.0 out of 5 stars"
"4","T-shirt","GAP Women's 2-Pack Crewneck Favorite Tee T-Shirt","Jessica","Other than them being very see through, they’re very soft and comfy! They do not conform to your shape either, they’re very straight on the sides.","Verified Purchase","Reviewed in the United States on 25 January 2024","5.0 out of 5 stars"
"5","T-shirt","GAP Women's 2-Pack Crewneck Favorite Tee T-Shirt","Mr Scott J Frohock","very thin material, not the soft thick quality I have come to expect from gap in the past.not worth the cost long length tho so Ill keep them. I wont be buying these again.","Verified Purchase","Reviewed in the United Kingdom on 27 April 2023","5.0 out of 5 stars"
"6","T-shirt","GAP Women's 2-Pack Crewneck Favorite Tee T-Shirt","Don (Ross, TX)","These are, as the name implies, my favorite.  They are the perfect length, nice and soft, and they are just the right fit…not too baggy but not to snug either.  And I got them at a downright steal, so that just makes them score even higher.","Verified Purchase","Reviewed in the United States on 18 August 2023","2.0 out of 5 stars"
"7","T-shirt","GAP Women's 2-Pack Crewneck Favorite Tee T-Shirt","Clau","Buena calidad de la tela, funcionan excelente para climas calurosos, la tela es muy suave.","Verified Purchase","Reviewed in Mexico on 22 April 2023","5.0 out of 5 stars"
"8","T-shirt","GAP Women's 2-Pack Crewneck Favorite Tee T-Shirt","Harry","The T shirt has a cute flattering fit.  I do prefer a narrower ""trim"" to finish a collar so that it is a more feminine tee, but no biggie.  I would prefer a cotton/poly mix over the modal so that it is washable/dryable and durable.  Modal makes it soft but not durable.  I do not favor see-through tees and this is a little too thin.  If you like the details of your bra to shine through (ie patterns, flowers, etc...) then this tee is for you.  I thought I would try this tee due to its ratings, and it is okay.  I would truly rate it a 3 and 1/2 stars.  I washed once in cold and dried flat and it shrunk lengthwise, if this were a quality long fiber cotton, it shouldn't have shrunk this much.  Not sure why that happened at all.","Verified Purchase","Reviewed in the United States on 31 July 2023","5.0 out of 5 stars"
"9","T-shirt","GAP Women's 2-Pack Crewneck Favorite Tee T-Shirt","Kaybrey Stanton","Love these t-shirts, especially when you can find them on sale. They fit true to size, good quality, soft, and wash nicely.I bought the small, fit great (a smudge tight in the bust area, and I do NOT have a well-endowed bust).For price and quality, these are a great buy!","Verified Purchase","Reviewed in the United States on 26 April 2023","4.0 out of 5 stars"
"10","T-shirt","GAP Women's 2-Pack Crewneck Favorite Tee T-Shirt","kms","I love these so much. So soft and comfortable for around the house, grocery shopping, and even under a nice sweater for work. OMG!! the price is unbeatable for the quality. I like these for hot NC summers. Perfect weight. I am going to keep buying these - over and over and over.","Verified Purchase","Reviewed in the United States on 4 July 2023","5.0 out of 5 stars"
