"","category","name","reviewer","reviews","verified","date.of.review","ratings"
"1","T-shirt","Nike Women's Tee Essential Icon Futur T-Shirt","luz","Tutto come in foto","Verified Purchase","Reviewed in Italy on 19 July 2023","4.6 out of 5 stars"
"2","T-shirt","Nike Women's Tee Essential Icon Futur T-Shirt","Miss Cooper","Great t shirt and price. Daughter is very happy.","Verified Purchase","Reviewed in the United Kingdom on 18 December 2019","5.0 out of 5 stars"
"3","T-shirt","Nike Women's Tee Essential Icon Futur T-Shirt","Iljo","The shirt is same as description. Fully recommend","Verified Purchase","Reviewed in Germany on 23 September 2023","5.0 out of 5 stars"
"4","T-shirt","Nike Women's Tee Essential Icon Futur T-Shirt","Schrott, nicht bestellen. Beleuchtung funktioniert nicht richtig. Schuhe waren schmutzig.  Verkäufer nicht weiter zu empfehlen!","Top","Verified Purchase","Reviewed in Germany on 20 February 2023","5.0 out of 5 stars"
"5","T-shirt","Nike Women's Tee Essential Icon Futur T-Shirt","Anja W.","Das ist als Geschenk für meine Tochter gedacht!!Das Shirt passt und entspricht der Beschreibung!!","Verified Purchase","Reviewed in Germany on 28 September 2022","5.0 out of 5 stars"
"6","T-shirt","Nike Women's Tee Essential Icon Futur T-Shirt","Stefanie  Hoff","Passt wie angegeben.. Schneller Versand.. Tolle Qualität.. Gerne wieder","Verified Purchase","Reviewed in Germany on 12 July 2021","5.0 out of 5 stars"
"7","T-shirt","Nike Women's Tee Essential Icon Futur T-Shirt","Amazon Kunde","Schönes T-Shirt und gutes Material. Auf jedenfall empfehlenswert. Größe in S passt für einen jungen Teenager mit 11","Verified Purchase","Reviewed in Germany on 7 January 2020","5.0 out of 5 stars"
"8","T-shirt","Nike Women's Tee Essential Icon Futur T-Shirt","MM","Hab das Shirt für meine Tochter (Teenager) bestellt, Größe passt sehr gut, schaut gut aus, auch nach dem Waschen, kann ich weiterempfehlen","Verified Purchase","Reviewed in Germany on 16 July 2019","5.0 out of 5 stars"
"9","T-shirt","Nike Women's Tee Essential Icon Futur T-Shirt","Herbert Steiner","Schnelle Lieferung, alles bestens","Verified Purchase","Reviewed in Germany on 8 March 2021","5.0 out of 5 stars"
"10","T-shirt","Nike Women's Tee Essential Icon Futur T-Shirt","BUGO78","Per un regalo","Verified Purchase","Reviewed in Italy on 29 December 2021","5.0 out of 5 stars"
"11","T-shirt","Nike Women's Tee Essential Icon Futur T-Shirt","muny","très bien reçu avec un jour en avance 👍","Verified Purchase","Reviewed in France on 21 April 2021","4.6 out of 5 stars"
"12","T-shirt","Nike Women's Tee Essential Icon Futur T-Shirt","Jens Wagenknecht","Schnell geliefert, Qualität sehr gut","Verified Purchase","Reviewed in Germany on 22 July 2019","5.0 out of 5 stars"
"13","T-shirt","Nike Women's Tee Essential Icon Futur T-Shirt","Aalijah.westbeld","👌🏽","Verified Purchase","Reviewed in Germany on 15 June 2019","5.0 out of 5 stars"
"14","T-shirt","Nike Women's Tee Essential Icon Futur T-Shirt",NA,NA,NA,NA,"5.0 out of 5 stars"
"15","T-shirt","Nike Women's Tee Essential Icon Futur T-Shirt",NA,NA,NA,NA,NA
"16","T-shirt","Nike Women's Tee Essential Icon Futur T-Shirt",NA,NA,NA,NA,NA
"17","T-shirt","Nike Women's Tee Essential Icon Futur T-Shirt",NA,NA,NA,NA,NA
"18","T-shirt","Nike Women's Tee Essential Icon Futur T-Shirt",NA,NA,NA,NA,NA
"19","T-shirt","Nike Women's Tee Essential Icon Futur T-Shirt",NA,NA,NA,NA,NA
"20","T-shirt","Nike Women's Tee Essential Icon Futur T-Shirt",NA,NA,NA,NA,NA
"21","T-shirt","Nike Women's Tee Essential Icon Futur T-Shirt",NA,NA,NA,NA,"4.6 out of 5 stars"
"22","T-shirt","Nike Women's Tee Essential Icon Futur T-Shirt",NA,NA,NA,NA,NA
"23","T-shirt","Nike Women's Tee Essential Icon Futur T-Shirt",NA,NA,NA,NA,NA
"24","T-shirt","Nike Women's Tee Essential Icon Futur T-Shirt",NA,NA,NA,NA,NA
"25","T-shirt","Nike Women's Tee Essential Icon Futur T-Shirt",NA,NA,NA,NA,NA
"26","T-shirt","Nike Women's Tee Essential Icon Futur T-Shirt",NA,NA,NA,NA,NA
"27","T-shirt","Nike Women's Tee Essential Icon Futur T-Shirt",NA,NA,NA,NA,NA
"28","T-shirt","Nike Women's Tee Essential Icon Futur T-Shirt",NA,NA,NA,NA,NA
"29","T-shirt","Nike Women's Tee Essential Icon Futur T-Shirt",NA,NA,NA,NA,NA
