"","category","name","reviewer","reviews","verified","date.of.review","ratings"
"1","Shoes","Skechers Women's Uno - Night Shades Lace-Up Sneaker","John mckay","Bought these for my wife for Christmas and she loves theme, great style and comfort","Verified Purchase","Reviewed in Australia on 21 December 2023","4.7 out of 5 stars"
"2","Shoes","Skechers Women's Uno - Night Shades Lace-Up Sneaker","Rose Brown","These are the best shoes for comfort I have ever owned.  I work in a school and get loads of comments from the students about my ""sick as"" shoes lol!  I cannot recommend them highly enough.","Verified Purchase","Reviewed in Australia on 12 September 2023","5.0 out of 5 stars"
"3","Shoes","Skechers Women's Uno - Night Shades Lace-Up Sneaker","John mckay","Bright deep pink, stunning shoes","Verified Purchase","Reviewed in Australia on 21 December 2023","3.0 out of 5 stars"
"4","Shoes","Skechers Women's Uno - Night Shades Lace-Up Sneaker","Katherine","Absolutely love the blue so comfortable","Verified Purchase","Reviewed in Australia on 29 February 2024","5.0 out of 5 stars"
"5","Shoes","Skechers Women's Uno - Night Shades Lace-Up Sneaker","suzanne haynes","buy now while one you can these are amazing and perfect sizing. Most comfy shoes I own and I own a lot of brand shoes !","Verified Purchase","Reviewed in Australia on 4 February 2024","5.0 out of 5 stars"
"6","Shoes","Skechers Women's Uno - Night Shades Lace-Up Sneaker","Dannii","I received this package on 3rd however I didn’t open until today. When I did, I noticed white powdered dust on shoes sole. I can wipe and wear it no issues but thought to bring this to your attention. I never had previous issue with Amazon stuff before hence not expecting anything here. Just a genuine feedback only. I love this shoes otherwise all good!","Verified Purchase","Reviewed in Australia on 9 February 2024","5.0 out of 5 stars"
"7","Shoes","Skechers Women's Uno - Night Shades Lace-Up Sneaker","MummaMia","Comfortable, affordable and look great","Verified Purchase","Reviewed in Australia on 29 November 2023","5.0 out of 5 stars"
"8","Shoes","Skechers Women's Uno - Night Shades Lace-Up Sneaker","Dharmraj shelke","First pair of shoes bought online. Fits perfectly. Happy with all aspects of purchase.","Verified Purchase","Reviewed in Australia on 5 December 2023","5.0 out of 5 stars"
"9","Shoes","Skechers Women's Uno - Night Shades Lace-Up Sneaker","KC","Not as comfortable as I would have expected. I have bought gel insoles to soften step and make more comfortable when walking. Haven’t tried them since adding gel insoles to see if they are more comfortable","Verified Purchase","Reviewed in Australia on 3 July 2023","4.0 out of 5 stars"
"10","Shoes","Skechers Women's Uno - Night Shades Lace-Up Sneaker","RobynCo","Great","Verified Purchase","Reviewed in Australia on 24 November 2023","5.0 out of 5 stars"
"11","Shoes","Skechers Women's Uno - Night Shades Lace-Up Sneaker","John mckay","These sketches are on point !!!!!! So much heel support and so very comfortable 🫶🏻","Verified Purchase","Reviewed in Australia on 21 December 2023","4.7 out of 5 stars"
"12","Shoes","Skechers Women's Uno - Night Shades Lace-Up Sneaker","Rose Brown","Lots of grip super comfortable. On them all day every day","Verified Purchase","Reviewed in Australia on 12 September 2023","5.0 out of 5 stars"
"13","Shoes","Skechers Women's Uno - Night Shades Lace-Up Sneaker","248street","Comfortable and everyone gives me compliments. This was my first ever online shoe purchase and they were a perfect fit. Definitely will get more.","Verified Purchase","Reviewed in Australia on 7 October 2023","3.0 out of 5 stars"
"14","Shoes","Skechers Women's Uno - Night Shades Lace-Up Sneaker","248street","Size runs slightly on the smaller side unfortunately. Looks a little cheap in appreance, yet deceivingly ok in quality.I don't think I would buy again.  But that is just my opinion.This review only reflects the item and not the sale's team or Amazon.","Verified Purchase","Reviewed in Australia on 14 October 2023","5.0 out of 5 stars"
"15","Shoes","Skechers Women's Uno - Night Shades Lace-Up Sneaker","Michael Dyson","Purchased more than 5 pairs in different colors; great quality, very comfortable item!","Verified Purchase","Reviewed in Australia on 26 August 2023","5.0 out of 5 stars"
"16","Shoes","Skechers Women's Uno - Night Shades Lace-Up Sneaker","Samantha Martyn","Love my Skechers uno, wear them all the time. Got these beauties for half price. Thank you Amazon!","Verified Purchase","Reviewed in Australia on 12 September 2023","5.0 out of 5 stars"
"17","Shoes","Skechers Women's Uno - Night Shades Lace-Up Sneaker","Rose Brown","Love sketchers shoes, so comfy and these ones are a showstopper!! Have had so many comments since i got them..everyone loves them as much as me ❤️","Verified Purchase","Reviewed in Australia on 7 June 2023","5.0 out of 5 stars"
"18","Shoes","Skechers Women's Uno - Night Shades Lace-Up Sneaker","OZZIE","These shoes are extremely comfortable and I have gotten so many compliments on them. They are a very bright vibrant pink colour.I received these shoes very quickly once I purchased them.I’m a size 9 and I ordered a size 9. Perfect. 10/10","Verified Purchase","Reviewed in Australia on 20 July 2023","3.0 out of 5 stars"
